This is testing for fprintf...
Data @ Index 633: fdc
Data @ Index 634: 1a32
Data @ Index 635: 2645
Data @ Index 636: 31e8
Data @ Index 637: 39e9
Data @ Index 638: 3681
Data @ Index 639: 2e43
Data @ Index 640: 2578
Data @ Index 641: 1d52
Data @ Index 642: 1426
Data @ Index 643: b0d
Data @ Index 644: 117
Data @ Index 645: f68e
Data @ Index 646: ebcb
Data @ Index 647: e816
Data @ Index 648: e6e0
Data @ Index 649: e5e9
Data @ Index 650: e336
Data @ Index 651: e321
Data @ Index 652: e206
Data @ Index 653: e0bb
Data @ Index 654: de6a
Data @ Index 655: ddd0
Data @ Index 656: ddc4
Data @ Index 657: e0b5
Data @ Index 658: e932
Data @ Index 659: f3b9
Data @ Index 660: fde3
Data @ Index 661: 734
Data @ Index 662: 115c
Data @ Index 663: 1cf3
Data @ Index 664: 28aa
Data @ Index 665: 33c6
Data @ Index 666: 3aa9
Data @ Index 667: 362c
Data @ Index 668: 2cfa
Data @ Index 669: 23d9
Data @ Index 670: 1c9a
Data @ Index 671: 13ba
Data @ Index 672: a4c
Data @ Index 673: ff89
Data @ Index 674: f5cf
Data @ Index 675: eb73
Data @ Index 676: e782
Data @ Index 677: e5df
Data @ Index 678: e600
Data @ Index 679: e353
Data @ Index 680: e249
Data @ Index 681: e133
Data @ Index 682: e0b6
Data @ Index 683: de5d
Data @ Index 684: dd58
Data @ Index 685: dcde
Data @ Index 686: e0b2
Data @ Index 687: e91d
Data @ Index 688: f319
Data @ Index 689: fd3f
Data @ Index 690: 774
Data @ Index 691: 10b7
Data @ Index 692: 1c17
Data @ Index 693: 2782
Data @ Index 694: 3343
Data @ Index 695: 3a9a
Data @ Index 696: 36df
Data @ Index 697: 2e28
Data @ Index 698: 2553
Data @ Index 699: 1da9
Data @ Index 700: 1515
Data @ Index 701: baa
Data @ Index 702: 13b
Data @ Index 703: f78b
Data @ Index 704: edb4
Data @ Index 705: e853
Data @ Index 706: e653
Data @ Index 707: e5a9
Data @ Index 708: e3e5
Data @ Index 709: e259
Data @ Index 710: e135
Data @ Index 711: e085
Data @ Index 712: df31
Data @ Index 713: ddd4
Data @ Index 714: dc2d
Data @ Index 715: deb7
Data @ Index 716: e6bd
Data @ Index 717: f024
Data @ Index 718: f9bf
Data @ Index 719: 410
Data @ Index 720: e19
Data @ Index 721: 187b
Data @ Index 722: 230c
Data @ Index 723: 2f3c
Data @ Index 724: 3936
Data @ Index 725: 387f
Data @ Index 726: 30e7
Data @ Index 727: 2916
Data @ Index 728: 20ea
Data @ Index 729: 18ae
Data @ Index 730: f1a
Data @ Index 731: 5e1
Data @ Index 732: fc08
Data @ Index 733: f19c
Data @ Index 734: ea2d
Data @ Index 735: e80c
Data @ Index 736: e671
Data @ Index 737: e4ec
Data @ Index 738: e355
Data @ Index 739: e233
Data @ Index 740: e086
Data @ Index 741: df4e
Data @ Index 742: de90
Data @ Index 743: dd9e
Data @ Index 744: dc33
Data @ Index 745: e14f
Data @ Index 746: eab4
Data @ Index 747: f431
Data @ Index 748: fd9c
Data @ Index 749: 7ea
Data @ Index 750: 12d1
Data @ Index 751: 1d19
Data @ Index 752: 27bf
Data @ Index 753: 33bc
Data @ Index 754: 3a7e
Data @ Index 755: 365a
Data @ Index 756: 2e48
Data @ Index 757: 25d2
Data @ Index 758: 1e03
Data @ Index 759: 153c
Data @ Index 760: c22
Data @ Index 761: 2e6
Data @ Index 762: f911
Data @ Index 763: ee89
Data @ Index 764: e938
Data @ Index 765: e735
Data @ Index 766: e631
Data @ Index 767: e50c
Data @ Index 768: e3fb
Data @ Index 769: e161
Data @ Index 770: e034
Data @ Index 771: dedd
Data @ Index 772: de39
Data @ Index 773: dc87
Data @ Index 774: dc8d
Data @ Index 775: e297
Data @ Index 776: ec9d
Data @ Index 777: f547
Data @ Index 778: fedb
Data @ Index 779: a3a
Data @ Index 780: 14f1
Data @ Index 781: 1e75
Data @ Index 782: 299e
Data @ Index 783: 35cc
Data @ Index 784: 3b29
Data @ Index 785: 35e6
Data @ Index 786: 2d2e
Data @ Index 787: 25dd
Data @ Index 788: 1d0a
Data @ Index 789: 1382
Data @ Index 790: b43
Data @ Index 791: 2f7
Data @ Index 792: f851
Data @ Index 793: ede7
Data @ Index 794: e835
Data @ Index 795: e7c9
Data @ Index 796: e612
Data @ Index 797: e4ce
Data @ Index 798: e3ef
Data @ Index 799: e2b6
Data @ Index 800: e0bb
Data @ Index 801: de43
Data @ Index 802: dd51
Data @ Index 803: dc80
Data @ Index 804: dc29
Data @ Index 805: e1ce
Data @ Index 806: eb4c
Data @ Index 807: f48b
Data @ Index 808: fdeb
Data @ Index 809: 84b
Data @ Index 810: 12c6
